Number: 119, Type: 2e*, Grid Ref: TQ1818161194, Longitude: 51.337561, Latitude: -0.304799, Distance: 12.23
Number: 120, Type: 2e, Grid Ref: TQ1810560915, Longitude: 51.335069, Latitude: -0.305982, Distance: 12.50
Number: 121, Type: 4a, Grid Ref: TQ1929959657, Longitude: 51.323513, Latitude: -0.289271, Distance: 12.90
Number: 122, Type: 2e, Grid Ref: TQ1941659400, Longitude: 51.321179, Latitude: -0.287678, Distance: 13.06
Number: 123, Type: 2e, Grid Ref: TQ1986758314, Longitude: 51.311323, Latitude: -0.281574, Distance: 13.83
Number: 124, Type: 2h, Grid Ref: TQ2003957903, Longitude: 51.307593, Latitude: -0.279245, Distance: 14.14
Number: 125, Type: 2e, Grid Ref: TQ2011657429, Longitude: 51.303316, Latitude: -0.278301, Distance: 14.54
Number: 126, Type: 2e, Grid Ref: TQ2088557187, Longitude: 51.300978, Latitude: -0.267357, Distance: 14.50
Number: 127, Type: 2e, Grid Ref: TQ2154157513, Longitude: 51.303769, Latitude: -0.25784, Distance: 13.98
Number: 128, Type: 2e, Grid Ref: TQ2186757697, Longitude: 51.305353, Latitude: -0.253103, Distance: 13.71
Number: 129, Type: 2e, Grid Ref: TQ2207757831, Longitude: 51.306512, Latitude: -0.250046, Distance: 13.53
Number: 130, Type: 2e, Grid Ref: TQ2245358077, Longitude: 51.308643, Latitude: -0.24457, Distance: 13.19
Number: 131, Type: 2e, Grid Ref: TQ2250758113, Longitude: 51.308955, Latitude: -0.243784, Distance: 13.14
Number: 132, Type: 2e, Grid Ref: TQ2248258378, Longitude: 51.311342, Latitude: -0.244051, Distance: 12.89
Number: 133, Type: 2e, Grid Ref: TQ2255957871, Longitude: 51.306768, Latitude: -0.243121, Distance: 13.37
Number: 134, Type: 2e, Grid Ref: TQ2231557081, Longitude: 51.299721, Latitude: -0.24689, Distance: 14.19
Number: 135, Type: 2e, Grid Ref: TQ2258156022, Longitude: 51.290146, Latitude: -0.24344, Distance: 15.17
Number: 136, Type: 2e, Grid Ref: TQ2259055749, Longitude: 51.28769, Latitude: -0.243405, Distance: 15.43
Number: 137, Type: 2c, Grid Ref: TQ2273455338, Longitude: 51.283965, Latitude: -0.241482, Distance: 15.81
Number: 138, Type: 2c, Grid Ref: TQ2280055210, Longitude: 51.282801, Latitude: -0.24058, Distance: 15.92
Number: 139, Type: 2, Grid Ref: TQ2285955094, Longitude: 51.281746, Latitude: -0.239774, Distance: 16.03
Number: 140, Type: 2e, Grid Ref: TQ2300254779, Longitude: 51.278884, Latitude: -0.237833, Distance: 16.31
